City,Name,Address
Manhattan,The Local Bar and Cafe,13-02 44th Ave
Manhattan,Chase Sapphire Lounge,19 Fulton St
Manhattan,Barlo,11 E 31st St
Manhattan,The Ivy Room,420 Park Ave S
Manhattan,El Quijote,226 W 23rd St
Manhattan,bOb Bar,247 Eldridge St
Manhattan,Recreation,26 Ann St
Manhattan,Cooper's Craft & Cocktails,169 8th Ave
Manhattan,Social Drink and Food,570 10th Ave
Manhattan,Night of Joy,667 Lorimer St
Manhattan,Banzarbar,End Of Freemans Aly
Manhattan,Space 54,226 E 54th St
Manhattan,The Highwood,500 Ave At Port Imperial
Manhattan,Rooftop at Exchange Place,1 Exchange Pl
Manhattan,Bryant Park Lounge,1033 6th Ave
Manhattan,Printers Alley,215 W 40th St
Manhattan,PMF Pardon My French,103 Ave B
Manhattan,The Pony Bar,1444 1st Ave
Manhattan,Straylight,32 Mulberry St
Manhattan,The Wren,344 Bowery
Manhattan,Sammy’s Bar,326 W 40th St
Manhattan,Kimoto Rooftop,228 Duffield St
Manhattan,Ace Hotel Lobby Bar,20 W 29th St
Manhattan,La Nueva Elegancia Restaurant & Lounge ,572 57th St
Manhattan,Uva,1486 2nd Ave
Manhattan,The Red District,31-31 Steinway St
Manhattan,The Centurion Lounge,Jfk Airport
Manhattan,Goldbar,389 Broome St
Manhattan,Anable Basin Sailing Bar & Grill,4-40 44th Dr
Manhattan,Oppa Bistro,162 West 4th St
Manhattan,Landmark Tavern,626 11th Ave
Manhattan,L.I.C. Bar,4558 Vernon Blvd
Manhattan,The Honey Well,3604 Broadway
Manhattan,Oiji Mi,17 W 19th St
Manhattan,Moxy NYC Times Square,485 7th Ave
Manhattan,Contour,50 Central Park S
Manhattan,Hotel Delmano,82 Berry St
Manhattan,Dive 75,101 W 75th St
Manhattan,Sake Bar Decibel,240 E 9th St
Manhattan,Sally’s,129 Lexington Ave
Manhattan,The Smith,956 2nd Ave
Manhattan,Madame George,45 W 45th St
Manhattan,The Jane Ballroom,113 Jane St
Manhattan,Célon Cocktail Bar & Lounge,40 W 40th St
Manhattan,FREEHOLD,45 S 3rd St
Manhattan,OCabanon,245 W 29th St
Manhattan,JAZZ at KITANO,66 Park Ave E 38th St
Manhattan,The INKwell,621 West 46th St
Manhattan,Trinity Place,115 Broadway
Manhattan,Fresh Kills Bar,161 Grand St
Manhattan,The Rooftop at Selina Chelsea,518 W 27th St
Manhattan,Ten Degrees Bar,121 St Marks Pl
Manhattan,Jewel Thief,30 W 30th St
Manhattan,Smalls Jazz Club,183 W 10th St
Manhattan,Carmelo's,1544 Dekalb Ave
Manhattan,Halifax,225 River St
Manhattan,Vida Garden,16 Armory St
Manhattan,ANA Bar and Eatery,20 Hudson Yards
Manhattan,Buddakan,75 9th Ave
Manhattan,The Immigrant,341 E 9th St
Manhattan,Club Cache,35 E 13th St
Manhattan,Pencil Factory Bar,142 Franklin St
Manhattan,Fishbowl,210 West 55th St
Manhattan,Rudy's Bar & Grill,627 9th Ave
Manhattan,Brooklyn Heights Social Club,60 Furman St
Manhattan,Illusions Hookah & Mixology Lounge,3229 Westchester Ave
Manhattan,Drop Off Service,211 Ave A
Manhattan,The Last Word,31-30 Ditmars Blvd
Manhattan,Théâtre XIV by Company XIV,383 Troutman St
Manhattan,HAVEN Riverfront Restaurant and Bar,2 Main St
Manhattan,Premier Lounge,50 W 36th St
Manhattan,Midpoint Bistro and Bar,40 W 45th St
Manhattan,Turks & Frogs,323 W 11th St
Manhattan,Izakaya NoMad,13 W 26th St
Manhattan,Addictive NYC,19 West 46th St
Manhattan,Gospel,281 Lafayette St
Manhattan,The Guthrie Inn,1259 Park Ave
Manhattan,Diggy's Lounge,46 Norman Ave
Manhattan,54 Below,254 W 54th St
Manhattan,Entwine,765 Washington St
Manhattan,Sweetbriar,127 E 27th St
Manhattan,Swift,34 E 4th St
Manhattan,Pinnacle Bar,234 W 42nd St
Manhattan,Gagopa Karaoke,28 W 32nd St
Manhattan,Leaf Bar & Lounge,133-42 39th Ave
Manhattan,The Spring Lounge,48 Spring St
Manhattan,The Library,7 Ave A
Manhattan,Billymark's West,332 9th Ave
Manhattan,American Cut Steakhouse Midtown,109 E 56th St
Manhattan,Anixi,290 8th Ave New York 10001-4801
Manhattan,Brooklyn Social,335 Smith St
Manhattan,Burp Castle,41 E 7th St
Manhattan,Broadway Lounge,1535 Broadway
Manhattan,Boucherie West Village,99 7th Ave S
Manhattan,Bijoux Lounge,57 Gansevoort St
Manhattan,Babylon Hookah Lounge,208 E 34th St
Manhattan,Dante West Village,551 Hudson St
Manhattan,Kween Astoria,34-10 30th Ave
Manhattan,Maggie Mae's,41-15 Queens Blvd
Manhattan,Club Room at Soho Grand,310 W Broadway
Manhattan,Tessa,349 Amsterdam Ave
Manhattan,690 Park Restaurant Bar & Lounge,690 Anderson Ave
Manhattan,Bridges Bar,1335 Ave Of The Americas
Manhattan,Hard to Explain,224 E 10th St
Manhattan,Rumba Cubana - Guttenberg,6909 Jfk Blvd E
Manhattan,Esme,999 Manhattan Ave
Manhattan,The Highwater,3420 Broadway
Manhattan,Victor's Cafe,236 W 52nd St
Manhattan,The Highline Loft,508 W 26th St
Manhattan,Chocolat Restaurant & Bar,2223 Frederick Douglass Blvd
Manhattan,9 Plus KTV,136-28 39th Ave
Manhattan,Tiny's & The Bar Upstairs,135 W Broadway
